Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,2D boundary of,achieves_planned_objective,administrates,alternative label,antisymmetric property,BFO CLIF specification label,BFO OWL specification label,causal relation between processes,causally related to,causally upstream of,causally upstream of or within,"causally upstream of or within, negative effect","causally upstream of, negative effect",characteristic of,concretizes,contains process,curator note,defined by construct,definition,definition source,denoted by,denotes,DEPRECATED bearer of,DEPRECATED inheres in,derives from,derives into,designates,developmentally related to,disposition of,editor note,editor preferred term,elucidation,example of usage,expand assertion to,expand expression to,first order logic expression,function of,has 2D boundary,has actual load,has associated axiom(fol),has associated axiom(nl),has axiom label,has broad synonym,has characteristic,has component,has curation status,has disposition,has disposition to bind,has exact synonym,has function,has grain,has history,has ID digit count,has ID policy for,has ID prefix,has ID range allocated to,has input,has maximum capacity,has measurement datum,has measurement unit label,has measurement value,has member,has narrow synonym,has obsolescence reason,has ontology root term,has organization member,has output,has part,has participant,has quality,has related synonym,has role,has specified numeric value,has specified value,has temporal occupant,has time stamp,has value specification,has_specified_input,has_specified_output,history of,http://data.bioontology.org/metadata/obo/part_of,http://data.bioontology.org/metadata/prefixIRI,http://data.bioontology.org/metadata/treeView,http://protege.stanford.edu/plugins/owl/protege#defaultLanguage,http://purl.obolibrary.org/obo/apollo_sv.owl/APOLLO_SV_0000040,http://purl.org/dc/elements/1.1/contributor,http://purl.org/dc/elements/1.1/coverage,http://purl.org/dc/elements/1.1/creator,http://purl.org/dc/elements/1.1/date,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/format,http://purl.org/dc/elements/1.1/identifier,http://purl.org/dc/elements/1.1/language,http://purl.org/dc/elements/1.1/license,http://purl.org/dc/elements/1.1/member,http://purl.org/dc/elements/1.1/publisher,http://purl.org/dc/elements/1.1/relation,http://purl.org/dc/elements/1.1/rights,http://purl.org/dc/elements/1.1/source,http://purl.org/dc/elements/1.1/subject,http://purl.org/dc/elements/1.1/title,http://purl.org/dc/elements/1.1/type,http://purl.org/dc/terms/license,http://www.geneontology.org/formats/oboInOwl#created_by,http://www.geneontology.org/formats/oboInOwl#creation_date,http://www.geneontology.org/formats/oboInOwl#hasOBONamespace,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://xmlns.com/foaf/0.1/homepage,http://xmlns.com/foaf/0.1/mbox,IEDB alternative term,imported from,in branch,input of,is about,is allocated id range,is concretized as,is contact information about,is denotator type,is designated by,is duration of,is member of organization,is owned by,is quality measured as,is quality measurement of,is subordinate authority of,is-aggregate-of,is_specified_input_of,is_specified_output_of,is_supported_by_data,ISA alternative term,label,lacks_part,located in,location of,logical characteristic of object property,logical macro assertion,logical macro assertion on a property,logical macro assertion on an object property,may be identical to,member of,negatively regulates,NIAID GSCID-BRC alternative term,objective_achieved_by,OBO foundry unique label,obsolete administrates,obsolete is contact information about,obsolete is owned by,obsolete owns,occurs in,ontology term requester,output of,owns,part of,participates in,preceded by,precedes,provides_service_consumer_with,quality of,realized in,realizes,regulates,results in developmental progression of,results in formation of,results_in,role of,scheduled for obsoletion on or after,specifies value of,starts,temporal interpretation,temporally related to,term editor,term replaced by,term tracker item
http://purl.obolibrary.org/obo/OMIABIS_0001047,obsolete case ID,,,true,,,http://www.geneontology.org/formats/oboInOwl#ObsoleteClass,,,,,,,,,,,,,,,,,,,,http://biospecimens.cancer.gov/resources/sops/GTEx_SOPs/II/A/GTEx%20Tissue%20Procurement%20SOP%20%28PR-0004%20v1.2.1%29.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OMIABIS:0001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obsolete case ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alice Nzinga,http://purl.obolibrary.org/obo/OBIB_0000722,
http://purl.obolibrary.org/obo/OBI_0002357,Eastern Cooperative Oncology Group score value specification,ECOG score,A performance status value specification designed by the Eastern Cooperative Oncology Group to assess disease progression and its affect on the daily living abilities of the patient.,false,,,http://purl.obolibrary.org/obo/OBI_0002356,,,,ECOG score,,,,,,,,,,,,,,,A performance status value specification designed by the Eastern Cooperative Oncology Group to assess disease progression and its affect on the daily living abilities of the patient.,"NCI BBRB, OBI",,,,,,,,,,,Eastern Cooperative Oncology Group score value specification,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBI:0002357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/obi.owl,,,,,,,,,,,,,,,,,,,,Eastern Cooperative Oncology Group score value specification,,,,,,,,,,,,,,,,,,,NCI BBRB,,,,,,,,,,,,,,,,,,,,,"Chris Stoeckert, Helena Ellis",,
http://purl.obolibrary.org/obo/OBI_0001930,categorical value specification,,A value specification that is specifies one category out of a fixed number of nominal categories,false,,,http://purl.obolibrary.org/obo/OBI_0001933,,,,,,,,,,,,,,,,,,,A value specification that is specifies one category out of a fixed number of nominal categories,,,,,,,,,,,,categorical value specification,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBI:0001930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/obi.owl,,,,,,,,,,,,,,,,,,,,categorical value specification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERSON:Bjoern Peters,,
http://purl.obolibrary.org/obo/OGMS_0000073,diagnosis,,The representation of a conclusion of a diagnostic process.,false,,,http://purl.obolibrary.org/obo/IAO_0000027,,,,,,,,,,,,,,,,,,,The representation of a conclusion of a diagnostic process.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OGMS:0000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/ogms.owl,,,,,,,,,,,,,,,,,,,,diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0002397,gynecologic surgery history,,A clinical history in which a woman has had gynecologic surgery in the past.,false,,,http://purl.obolibrary.org/obo/OGMS_0000015,,,,,,,,,,,,,,,,,,,A clinical history in which a woman has had gynecologic surgery in the past.,"NCI BBRB, OBIB",,,,,,,,,,,gynecologic surgery history,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBI:0002397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/obi.owl,,,,,,,,,,,,,,,,,,,,gynecologic surgery history,,,,,,,,,,,,,,,,,,,NCI BBRB,,,,,,,,,,,,,,,,,,,,,"Chris Stoeckert, Helena Ellis",,
http://purl.obolibrary.org/obo/UBERON_0009853,body of uterus,uterine corpus|corpus uteri|uterine body,The part of the uterus above the isthmus and below the orifices of the uterine tubes.,false,,,http://purl.obolibrary.org/obo/UBERON_0000064,,,,uterine corpus|corpus uteri|uterine body,,,,,,,,,,,,,,,The part of the uterus above the isthmus and below the orifices of the uterine tubes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBERON:0009853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/uberon.owl,,,,,,,,,,,,,,,,,,,,body of uterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0002530,adipose tissue specimen,,A specimen that is derived from adipose tissue.,false,,,http://purl.obolibrary.org/obo/OBI_0001479,,,,,,,,,,,,,,,,,,,A specimen that is derived from adipose tissue.,"Chris Stoeckert, NCI BBRB",,,,,,,,,,,adipose tissue specimen,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBI:0002530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/obi.owl,,,,,,,,,,,,,,,,,,,,adipose tissue specimen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Stoeckert,,
http://purl.obolibrary.org/obo/OBI_0002152,EBV IgG antibody assay,EBV IgG Ab assay,An antigen specific antibodies assay that is meant to detect immunoglobulin G (IgG) antibodies that bind to Epstein-Barr virus (EBV) antigens.,false,,,http://purl.obolibrary.org/obo/OBI_0002145,,,,EBV IgG Ab assay,,,,,,,,,,,,,,,An antigen specific antibodies assay that is meant to detect immunoglobulin G (IgG) antibodies that bind to Epstein-Barr virus (EBV) antigens.,OBI,,,,,,,,,,,EBV IgG antibody assay,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBI:0002152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/obi.owl,,,,,,,,,,,,,,,,,,,,EBV IgG antibody assay,,,,,,,,,,,,,,,,,,,NCI BBRB,,,,,,,,,,,,,,,,,,,,,Chris Stoeckert|James Overton|Bjoern Peters|Randi Vita,,https://github.com/obi-ontology/obi/issues/825
http://purl.obolibrary.org/obo/UBERON_0000057,urethra,,"The fibromuscular tubular canal through which urine is discharged from the bladder to the exterior via the external urinary meatus; in males, the urethra is joined by the ejaculatory ducts and serves as a passageway for semen during ejaculation, as well as a canal for urine during voiding; in females, the urethra is shorter and emerges above the vaginal opening.",false,,,http://purl.obolibrary.org/obo/UBERON_0000465,,,,,,,,,,,,,,,,,,,"The fibromuscular tubular canal through which urine is discharged from the bladder to the exterior via the external urinary meatus; in males, the urethra is joined by the ejaculatory ducts and serves as a passageway for semen during ejaculation, as well as a canal for urine during voiding; in females, the urethra is shorter and emerges above the vaginal opening.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBERON:0000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/uberon.owl,,,,,,,,,,,,,,,,,,,,urethra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,,A subdivision of the digestive tract that connects the small intestine to the cloaca or anus. Lacks or has few villi[Kardong].,false,,,http://purl.obolibrary.org/obo/UBERON_0000064,,,,,,,,,,,,,,,,,,,A subdivision of the digestive tract that connects the small intestine to the cloaca or anus. Lacks or has few villi[Kardong].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBERON:0000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/uberon.owl,,,,,,,,,,,,,,,,,,,,large intestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
